Name,WHO_Region,Cases_cumulative_total,Cases_cumulative_total_per_100000_population,Cases_newly_reported_in_last_7_days,Cases_newly_reported_in_last_7_days_per_100000_population,Cases_newly_reported_in_last_24_hours,Deaths_cumulative_total,Deaths_cumulative_total_per_100000_population,Deaths_newly_reported_in_last_7_days,Deaths_newly_reported_in_last_7_days_per_100000_population,Deaths_newly_reported_in last_24_hours
Global,,336790193,4320.84738147675,20961268,268.9224384577979,3777104,5560718,71.34119196110508,48607,0.623603160177056,8741
United States of America,Americas,67437353,20373.659,5300542,1601.359,1182465,849276,256.577,12124,3.663,2629
India,South-East Asia,38218773,2769.468,1900846,137.742,317532,487693,35.34,2658,0.193,491
Brazil,Americas,23211894,10920.191,582434,274.01,137103,621517,292.397,1279,0.602,351
The United Kingdom,Europe,15506754,22842.343,644997,950.118,107450,152872,225.189,1865,2.747,359
France,Europe,14779277,22723.59,2171404,3338.6,432853,125173,192.457,1505,2.314,227
Russian Federation,Europe,10938261,7495.324,214956,147.296,38850,324060,222.059,4888,3.349,684
Turkey,Europe,10663481,12643.584,468696,555.728,72615,85253,101.084,1128,1.337,176
Italy,Europe,9219391,15458.016,1248323,2093.045,200966,142205,238.433,2333,3.912,380
Spain,Europe,8676916,18331.791,698092,1474.865,55350,91437,193.18,610,1.289,18
Germany,Europe,8320386,10004.467,577158,693.977,133536,116315,139.858,1264,1.52,234
Argentina,Americas,7318305,16192.454,784670,1736.158,120982,118420,262.016,825,1.825,189
Iran (Islamic Republic of),Eastern Mediterranean,6231909,7419.562,19522,23.242,4060,132132,157.313,160,0.19,19
Colombia,Americas,5596917,10999.605,216076,424.654,28849,131268,257.981,808,1.588,138
Mexico,Americas,4434758,3439.59,151202,117.272,49343,301789,234.067,672,0.521,320
Poland,Europe,4406553,11608.981,141128,371.799,32835,103378,272.347,1958,5.158,315
Indonesia,South-East Asia,4277644,1563.903,8754,3.2,2116,144199,52.719,44,0.016,7
Ukraine,Europe,3799382,8687.527,72348,165.428,18479,98843,226.011,915,2.092,131
Netherlands,Europe,3680896,21145.357,249118,1431.089,38282,21178,121.66,65,0.373,10
South Africa,Africa,3568900,6017.499,28009,47.226,4322,93707,157.999,877,1.479,156
Philippines,Western Pacific,3293625,3005.651,235237,214.669,22958,53044,48.406,390,0.356,82
Canada,Americas,2822614,7478.678,197827,524.154,21163,31827,84.327,870,2.305,148
Malaysia,Western Pacific,2817163,8704.082,21930,67.756,3229,31831,98.347,93,0.287,13
Czechia,Europe,2678767,25049.395,116206,1086.653,25989,36972,345.729,171,1.599,12
Peru,Americas,2668224,8092.429,255647,775.349,36398,203645,617.633,488,1.48,95
Belgium,Europe,2575313,22350.414,181066,1571.421,22,28726,249.305,133,1.154,4
Thailand,South-East Asia,2353062,3371.15,52605,75.365,8129,21987,31.5,104,0.149,19
Iraq,Eastern Mediterranean,2131500,5299.274,28945,71.962,6234,24267,60.332,42,0.104,5
Viet Nam,Western Pacific,2078087,2134.906,119368,122.632,15959,36114,37.101,1150,1.181,142
Israel,Europe,2035432,23515.942,365382,4221.365,30772,8362,96.609,58,0.67,4
